Part/linker,Well,Part concentration (ng/uL)
L1-P,A1,
L2-P,A2,
L3-P,A3,
L4-P,A4,
L5-P,A5,
LMS-P,A6,
LMP-P,A7,
L1-S,B1,
L2-S,B2,
L3-S,B3,
L4-S,B4,
L5-S,B5,
LMS-S,B6,
LMP-S,B7,
UTR-A-RBSa-P,C1,
UTR-A-RBSb-P,C2,
UTR-A-RBSc-P,C3,
UTR-A-RBSd-P,C4,
UTR-A-RBSe-P,C5,
UTR-B-RBSc-P,C6,
UTR C-RBSc-P,C7,
UTR D-RBSc-P,C8,
UTR E-RBSc-P,C9,
UTR-A-RBSa-S,D1,
UTR-A-RBSb-S,D2,
UTR-A-RBSc-S,D3,
UTR-A-RBSd-S,D4,
UTR-A-RBSe-S,D5,
UTR-B-RBSc-S,D6,
UTR C-RBSc-S,D7,
UTR D-RBSc-S,D8,
UTR E-RBSc-S,D9,
BASIC_SEVA_37_CmR-p15A.1,E1,
PJ23101_BASIC,E2,
PJ23104_BASIC,E3,
PJ23108_BASIC,E4,
PJ23111_BASIC,E5,
PJ23119_BASIC,E6,